model,n,accuracy,macro_f1,weighted_f1,balanced_acc,mcc,top3_acc,ece,brier,note
PointNet++ (CORRECTED real normals),558,0.9301075268817204,0.8965305952795787,0.9350259767328233,0.9337284499158544,0.9090944165921072,0.996415770609319,0.03366371396408287,0.10697539150714874,thesis number
BRepFormer subtype13 (frozen),558,0.899641577060932,0.8613549426330406,0.9020531806480043,0.8895272086065875,0.8646713654811394,0.989247311827957,0.03774067316217661,0.14284740388393402,unchanged across both runs
PointNet++ (FLAWED degenerate normals),558,0.7562724014336918,0.6657886525292505,0.772407686316622,0.7824917980341115,0.6940551327603091,0.967741935483871,0.06579596525238406,0.34532612562179565,DO NOT USE - normals bug artifact
Rules (frozen) subtype13,558,0.4982078853046595,0.14131201041481928,,,,,,,6/12 fastener classes structural zero
