model,n,accuracy,macro_f1,mcc,balanced_acc,auroc,brier,ece,fast_P,fast_R,fast_F1,nonfast_P,nonfast_R,nonfast_F1
"Rules (frozen, no training)",558,0.6505376344086021,0.6500419718065245,0.30786680362029,0.653036541430777,,,,0.6923076923076923,0.5896551724137931,0.6368715083798883,0.617363344051447,0.7164179104477612,0.6632124352331606
PointNet++ matched,558,0.942652329749104,0.9426339056235221,0.8858738701757295,0.943221723414929,0.9799719581687912,0.046873855659457106,0.028519163168708648,0.9605734767025089,0.9273356401384083,0.9436619718309859,0.9247311827956989,0.9591078066914498,0.9416058394160584
BRepFormer Plan C',558,0.899641577060932,0.8995783628136569,0.7993650163170789,0.8998983805199317,0.9566895203303276,0.0786137537599724,0.022699917164338262,0.911660777385159,0.8927335640138409,0.9020979020979021,0.8872727272727273,0.9070631970260223,0.8970588235294118
