task,model,ece,brier,auroc
Binary matched558,PointNet++,0.028519163168708648,0.046873855659457106,0.9799719581687912
Binary matched558,BRepFormer,0.022699917164338262,0.0786137537599724,0.9566895203303276
Subtype13 CORRECTED,PointNet++,0.03366371396408287,0.10697539150714874,0.9973323919935612
Subtype13,BRepFormer,0.03774067316217661,0.14284740388393402,0.9925892364393568
Subtype13 FLAWED,PointNet++,0.06579596525238406,0.34532612562179565,0.974783655308187
