config,v6test_indist,PADDLE_iso350_OOD,satellite_named_OOD
Rules alone,0.3365621697780909,0.5315533980582524,0.6590909090909091
BF v6 alone,0.8915110954561465,0.691747572815534,0.35795454545454547
PN++ v6 alone,0.9533207482409474,0.8485714285714285,
Hybrid (rules->v6),0.7391687213807678,0.6844660194174758,0.7045454545454546
Hybrid + top-K,0.6474110602324762,0.7694174757281553,0.6590909090909091
